,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior month),Status
11,N/A,N/A,adp,N/A,N/A,N/A,N/A,N/A,41.67,29.31,5.00,12.46,17.07,22.76,5.17,73350000000.0,33.89,73350000000.0,74060000000.0,30.30,3.78,5.08,19.57,5.08,6510000000.0,73350000000.0,N/A,5.76,3.40,0.70,1620000000.0,3.77,2420000000.0,1.08,13.53,3080000000.0,73350000000.0,0.10,82.23,N/A,2.54,0.92,4139999.9999999995,N/A
12,N/A,N/A,adsk,N/A,N/A,N/A,N/A,N/A,028.72,165.73,19.50,768.92,11.74,16.40,6.81,70330000000.0,16.63,70330000000.0,70820000000.0,62.89,1.91,19.40,104.35,19.40,2980000000.0,70330000000.0,N/A,1.93,98.20,13.00,1620000000.0,7.35,2100000000.0,0.83,0.31,1480000000.0,70330000000.0,0.17,93.34,N/A,1.66,1.11,2370000.0,N/A
13,N/A,N/A,adt,N/A,N/A,N/A,N/A,N/A,324.96,9.34,1.21,2.21,11.18,3.68,0.73,7290000000.0,6.99,7290000000.0,16540000000.0,9.34,1.21,3.12,8.67,3.12,3740000000.0,7290000000.0,N/A,0.79,489430000.0,0.10,489430000.0,0.59,10200000000.0,0.94,3.80,1410000000.0,7290000000.0,1.05,95.58,N/A,4.13,16.08,17340000.0,N/A
14,N/A,N/A,aee,N/A,N/A,N/A,N/A,N/A,125.14,22.34,3.28,2.22,15.37,24.89,2.91,18880000000.0,22.42,18880000000.0,29680000000.0,20.28,2.70,5.13,11.57,5.13,2740000000.0,18880000000.0,N/A,3.42,0.80,1.60,0.02,0.02,10800000000.0,0.75,34.34,1830000000.0,18880000000.0,0.44,76.64,N/A,4.56,3.31,4900000.0,N/A
15,N/A,N/A,aeo,N/A,N/A,N/A,N/A,N/A,174.51,7.10,0.98,3.46,5.50,0.44,0.30,3700000000.0,22.69,3700000000.0,4870000000.0,15.72,0.98,1.29,33.11,1.29,1520000000.0,3700000000.0,N/A,1.25,28.00,3.30,692360000.0,4.17,1860000000.0,1.69,6.43,226820000.0,3700000000.0,6.98,122.28,N/A,3.87,17.02,27750000.0,N/A
16,N/A,N/A,aep,N/A,N/A,N/A,N/A,N/A,161.82,20.70,2.66,1.95,12.85,20.02,2.45,39300000000.0,30.14,39300000000.0,72080000000.0,17.18,2.62,4.83,12.28,4.83,6500000000.0,39300000000.0,N/A,3.86,2.10,5.80,618700000.0,1.25,33390000000.0,0.48,41.03,3840000000.0,39300000000.0,0.01,76.78,N/A,2.07,1.23,7240000.0,N/A
17,N/A,N/A,aes,N/A,N/A,N/A,N/A,N/A,516.48,69.64,1.64,7.80,3.67,22.69,3.99,15630000000.0,14.32,15630000000.0,35090000000.0,15.17,2.21,3.68,16.78,3.68,2350000000.0,15630000000.0,N/A,0.53,1890000000.0,3.00,1890000000.0,2.84,21350000000.0,1.02,3.01,2710000000.0,15630000000.0,0.29,102.48,N/A,1.68,1.86,12630000.0,N/A
18,N/A,N/A,afl,N/A,N/A,N/A,N/A,N/A,28.69,6.98,1.49,0.96,21.10,19.40,1.68,31250000000.0,30.25,31250000000.0,33509999999.999996,9.47,1.49,1.55,0.97,1.55,7760000000.0,31250000000.0,N/A,6.36,216.10,2.30,6390000000.0,9.1,9320000000.0,0.62,46.16,5790000000.0,31250000000.0,8.69,61.63,N/A,2.27,1.31,9020000.0,N/A
19,N/A,N/A,aig,N/A,N/A,N/A,N/A,N/A,59.18,6.04,0.77,0.55,10.87,10.22,0.53,35000000000.0,52.37,35000000000.0,70530000000.0,9.43,0.46,1.52,1.37,1.52,15380000000.0,35000000000.0,N/A,5.72,56.10,22.10,23630000000.0,27.42,38240000000.0,0.75,73.86,2089999999.9999998,35000000000.0,0.05,92.27,N/A,2.91,1.62,12510000.0,N/A
20,N/A,N/A,aiv,N/A,N/A,N/A,N/A,N/A,198.45,14.26,1.01,0.36,17.36,13.36,1.09,756240000.0,7.42,756240000.0,4700000000.0,1.01,1.01,6.41,9.30,6.41,603880000.0,756240000.0,N/A,1.2750,228370000.0,6.30,228370000.0,1.9,4410000000.0,0.42,17.65,361600000.0,756240000.0,0.77,98.87,N/A,0.19,7.71,0.51,N/A
21,N/A,N/A,aiz,N/A,N/A,N/A,N/A,N/A,33.81,20.57,0.83,1.37,4.26,7.94,1.15,8140000000.000001,166.85,8140000000.000001,7950000000.0,13.24,0.83,0.78,0.61,0.78,934300000.0,8140000000.000001,N/A,6.75,2450000000.0,5.20,2450000000.0,41.75,2009999999.9999998,0.59,100.44,1150000000.0,8140000000.000001,0.85,97.87,N/A,3.99,3.19,1680000.0,N/A
22,N/A,N/A,akam,N/A,N/A,N/A,N/A,N/A,65.94,30.34,5.46,4.10,18.01,21.84,6.15,16840000000.0,19.26,16840000000.0,18110000000.0,18.48,1.56,5.80,15.73,5.80,1910000000.0,16840000000.0,N/A,3.41,15.00,11.70,1440000000.0,8.87,2710000000.0,3.13,25.23,1210000000.0,16840000000.0,2.12,93.55,N/A,7.67,6.96,10300000.0,N/A
23,N/A,N/A,all,N/A,N/A,N/A,N/A,N/A,24.34,7.75,0.80,1.32,10.68,16.88,3.83,33430000000.0,140.16,33430000000.0,41660000000.0,8.94,1.90,0.94,0.81,0.94,12490000000.0,33430000000.0,N/A,14.28,23.80,3.90,4930000000.0,16.21,6630000000.0,0.47,83.20,5410000000.0,33430000000.0,0.43,80.53,N/A,2.5,1.54,3940000.0,N/A
24,N/A,N/A,altr,N/A,N/A,N/A,N/A,N/A,69.78,400.00,9.62,12.44,3.08,1.42,0.55,4460000000.0,6.32,4460000000.0,4460000000.0,400.00,9.62,9.69,131.86,9.69,326320000.0,4460000000.0,N/A,0.20,245360000.0,6.00,245360000.0,3.33,250830000.0,2.41,4.89,28770000.0,4460000000.0,1.95,96.60,N/A,15.56,10.00,4370000.0,N/A
25,N/A,N/A,alxn,N/A,N/A,N/A,N/A,N/A,26.82,36.50,5.92,3.09,16.32,47.42,10.74,34170000000.0,26.57,34170000000.0,34640000000.0,12.67,0.98,5.91,33.83,5.91,4600000000.0,34170000000.0,N/A,4.31,23.60,25.80,2300000000.0,10.5,2970000000.0,3.81,50.57,2680000000.0,34170000000.0,0.28,93.36,N/A,1.46,1.68,4120000.0,N/A
26,N/A,N/A,amat,N/A,N/A,N/A,N/A,N/A,53.95,22.02,4.63,7.46,21.04,25.97,13.50,78910000000.0,18.78,78910000000.0,78880000000.0,17.92,2.01,4.59,16.49,4.59,7710000000.0,78910000000.0,N/A,3.92,62.00,24.90,5740000000.0,6.28,5710000000.0,3.00,11.57,3800000000.0,78910000000.0,0.41,83.07,N/A,1.73,1.27,11840000.0,N/A
27,N/A,N/A,amd,N/A,N/A,N/A,N/A,N/A,14.95,127.81,13.08,29.45,10.17,13.27,11.68,113880000000.0,7.41,113880000000.0,112690000000.0,52.63,1.17,13.03,85.63,13.03,2870000000.0,113880000000.0,N/A,0.74,225.00,55.50,1770000000.0,1.47,14.95,2.28,3.22,579880000.0,113880000000.0,0.62,73.87,N/A,1.3,4.68,60100000.0,N/A
28,N/A,N/A,amgn,N/A,N/A,N/A,N/A,N/A,312.87,18.86,5.56,12.43,29.42,37.57,9.45,138840000000.0,42.40,138840000000.0,160770000000.0,13.77,1.54,6.43,12.45,6.43,19010000000.0,138840000000.0,N/A,12.40,2.70,12.00,12360000000.0,21.23,34290000000.0,2.28,18.78,10860000000.0,138840000000.0,0.19,77.99,N/A,2.8,1.19,7480000.0,N/A
29,N/A,N/A,amp,N/A,N/A,N/A,N/A,N/A,96.72,13.31,2.04,3.69,15.33,24.34,1.17,22380000000.0,94.34,22380000000.0,19650000000.0,10.29,1.98,1.65,1.74,1.65,6330000000.0,22380000000.0,N/A,14.25,9680000000.0,10.10,9680000000.0,82.07,5870000000.0,2.35,51.14,5410000000.0,22380000000.0,0.20,87.14,N/A,3.52,2.24,2300000.0,N/A
30,N/A,N/A,amt,N/A,N/A,N/A,N/A,N/A,668.09,50.80,12.22,25.58,24.08,38.83,4.71,95460000000.0,17.69,95460000000.0,125530000000.0,38.31,1.97,16.01,27.77,16.01,5360000000.0,95460000000.0,N/A,4.23,6.90,3.00,1630000000.0,3.66,31690000000.0,0.87,8.40,3740000000.0,95460000000.0,0.27,93.09,N/A,1.78,1.15,3630000.0,N/A
